,Unnamed: 0,ID,Dirección Normalizada,COMUNA,XY (CABA),Longitud,Latitud,SEMESTRE
0,0,20160001,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,1
1,1,20160002,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,1
2,2,20160003,ENTRE RIOS AV. 2034,1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,1
3,3,20160004,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,1
4,4,20160005,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,1
5,5,20160008,27 DE FEBRERO AV. y ESCALADA AV.,8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,1
6,6,20160009,"NOGOYA y GONZALEZ, JOAQUIN V.",11,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,1
7,7,20160010,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,1
8,8,20160012,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,1
9,9,20160013,ENTRE RIOS AV. 1366,1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,1
10,10,20160015,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,Point (102357.43746828 103343.52002839),-58.4376002,-34.59912758,1
11,11,20160016,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,1
12,12,20160017,"ACOSTA, MARIANO y JANER, ANA MARIA",8,Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,1
13,13,20160019,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,1
14,14,20160020,SUIPACHA 156,1,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,1
15,15,20160021,DIRECTORIO AV. y CURAPALIGUE,7,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,1
16,16,20160022,"9 DE JULIO AV. y ALSINA, ADOLFO",1,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,1
17,17,20160025,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,1
18,18,20160026,HOLMBERG y VEDIA,12,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,1
19,19,20160027,"CURAPALIGUE AV. y DIAZ, AVELINO",7,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,1
20,20,20160028,VIAMONTE y 9 DE JULIO AV.,1,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,1
21,21,20160029,CABILDO AV. y DEHEZA,12,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,1
22,22,20160031,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,1
23,23,20160034,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,1
24,24,20160035,CORRIENTES AV. y CALLAO AV.,3,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,1
25,25,20160036,"HERRERA y VALLE, ARISTOBULO DEL",4,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,1
26,26,20160037,LAFUENTE AV. y QUIRNO,7,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,1
27,27,20160038,"PAZ, GRAL. AV. y ZUVIRIA",8,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,1
28,28,20160039,"MITRE, BARTOLOME y PUEYRREDON AV.",3,Point (105252.60308563 102264.96028996),-58.40603217,-34.6088396,1
29,29,20160041,DIRECTORIO AV. y RIVERA INDARTE AV.,7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,1
30,30,20160041,DIRECTORIO AV. y RIVERA INDARTE AV.,7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,1
31,31,20160043,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,1
32,32,20160044,"MORENO, JOSE MARIA AV. y BALBASTRO",7,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,1
33,33,20160045,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,1
34,34,20160047,LIMA 1483,1,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,1
35,35,20160048,CORRIENTES AV. y DORREGO AV.,15,Point (101440.29935254 104167.40204334),-58.44759966,-34.5917024,1
36,36,20160049,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,Point (. .),-58.37714647568196,-34.63657525428238,1
37,37,20160050,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,1
38,38,20160051,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,1
39,39,20160052,"LUGONES, LEOPOLDO AV.",13,Point (. .),-58.47534,-34.68757,1
40,40,20160053,TRIUNVIRATO AV. y OLAZABAL AV.,12,Point (98073.80557770 105955.73972818),-58.4842918,-34.57558053,1
41,41,20160054,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,1
42,42,20160055,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,1
43,43,20160056,"CAMPOS, LUIS M. AV. 30",14,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,1
44,44,20160058,LIMA 1471,1,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,1
45,45,20160059,CIUDADELA y LIMA,1,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,1
46,46,20160064,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,1
47,47,20160065,GAONA AV. y ESPINOSA,6,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,1
48,48,20160067,"DE LA TORRE, LISANDRO y SARAZA",8,Point (98052.13008621 94912.60873025),-58.48455411,-34.6751276,1
49,49,20160068,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,1
50,50,20160069,ENTRE RIOS AV. y FILIBERTO,3,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,1
51,51,20160073,"MAGARIÃ‘OS CERVANTES, A. 3900",10,Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,1
52,52,20160074,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,1
53,53,20160075,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,Point (98963.32962830 95620.61360192),-58.47461076,-34.66874679,1
54,54,20160076,SAN MARTIN AV. y CAMARONES,15,Point (100109.22264405 102851.86942760),-58.46210891,-34.60356211,1
55,55,20160077,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,Point (108532.37320501 102648.40418720),-58.3702777,-34.60536123,1
56,56,20160078,BELGRANO AV. y JUJUY AV.,3,Point (105354.74322032 101621.63182427),-58.40491455,-34.6146383,1
57,57,20160079,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,Point (100757.94817512 108943.96108781),-58.45504154,-34.54864492,1
58,58,20160080,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,1
59,59,20160081,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,Point (97805.54034401 107789.89169078),-58.4872106,-34.55904606,1
60,60,20160082,LA PLATA AV. 2384,4,Point (103719.51591058 98555.13443768),-58.42273092,-34.64228803,1
61,61,20160083,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,Point (101413.41644585 100430.31523295),-58.44788671,-34.62539009,1
62,62,20160084,"PELLEGRINI, CARLOS y TUCUMAN",1,Point (107539.54864414 103093.65031518),-58.38110563,-34.60135531,1
63,63,20160085,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,Point (103621.92252760 96885.28433165),-58.42378834,-34.657341,1
64,64,20160086,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,1
65,65,20160087,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,Point (107762.62066736 100018.90176187),-58.37864583,-34.62907067,2
66,66,20160088,CERETTI y NUÃ‘EZ,12,Point (96492.89040317 106832.19475660),-58.5015175,-34.56767549,2
67,67,20160089,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,Point (102842.06561704 108587.10659007),-58.43233425,-34.55185825,2
68,68,20160090,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,Point (103997.04813615 102012.34139150),-58.41971993,-34.6111224,2
69,69,20160092,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,2
70,70,20160093,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,Point (101804.61714036 100693.45218194),-58.44362126,-34.62301748,2
71,71,20160095,MERCEDES y MOSCONI GENERAL AV.,11,Point (95061.77375682 103748.74085597),-58.51713095,-34.59546519,2
72,72,20160096,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,Point (. .),-58.47433193007387,-34.66684950051973,2
73,73,20160097,SOLIS y MEXICO,1,Point (106687.13301820 101510.97040757),-58.39038605,-34.6156281,2
74,74,20160098,SAN JUAN AV. y ALBERTI,3,Point (105765.97394356 100631.47718024),-58.40042405,-34.62356174,2
75,75,20160099,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,2
76,76,20160100,"PAZ, GRAL. AV. y DONADO",12,Point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,2
77,77,20160101,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,Point (93946.81673714 97681.68907836),-58.52932872,-34.65014993,2
78,78,20160102,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,Point (96625.80612216 95129.90776954),-58.50011639,-34.67316502,2
79,79,20160104,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,Point (99720.41444035 97007.69579491),-58.46635001,-34.65624369,2
80,80,20160105,"LACROZE, FEDERICO AV. y FRAGA",15,Point (100905.28580812 104982.19279501),-58.45343236,-34.58435809,2
81,81,20160106,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,Point (107558.64146875 104433.48706482),-58.38090932,-34.58927731,2
82,82,20160107,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,Point (108408.31858686 97219.56218484),-58.37157668,-34.65429986,2
